1,Italy,SerieA,517820000,429,265230000,378,-252590000,2000                                     
2,England,PremierLeague,485000000,300,331130000,354,-153870000,2000  
3,Spain,LaLiga,440360000,252,386190000,234,-54180000,2000  
4,France,Ligue1,233460000,233,180690000,236,-52780000,2000  
5,Germany,Bundesliga,115820000,173,52190000,166,-63630000,2000  
6,Turkey,SüperLig,72220000,498,50480000,449,-21740000,2000  
7,Netherlands,Eredivisie,48870000,183,76800000,181,27940000,2000  
8,Portugal,LigaPortugalBwin,39520000,243,65950000,252,26430000,2000  
9,England,Championship,34500000,182,71000000,205,36500000,2000  
10,Greece,GreeceSuperLeague1,23750000,200,11370000,175,-12380000,2000  
11,Belgium,JupilerProLeague,10950000,239,20250000,223,9290000,2000  
12,Austria,AustriaBundesliga,10380000,117,1800000,125,-8580000,2000  
13,Germany,Germany2Bundesliga,9940000,242,12140000,236,2190000,2000  
14,Switzerland,SwitzerlandSuperLeague,8480000,95,15880000,107,7400000,2000  
15,Russia,RussiaPremierLiga,6680000,199,12350000,207,5670000,2000  
16,Spain,LaLiga2,6580000,285,97200000,323,90620000,2000  
17,Italy,SerieB,4280000,404,34500000,455,30230000,2000  
18,Ukraine,UkrainePremierLiga,4000000,114,43200000,116,39200000,2000  
19,Norway,NorwayEliteserien,3350000,86,18470000,76,15120000,2000  
20,Israel,IsraelLigatha'Al,2120000,95,3170000,102,1050000,2000  
21,Denmark,DenmarkSuperligaen,1620000,49,3370000,60,1750000,2000  
22,KoreaSouth,KoreaSouthKLeague1,1600000,122,1770000,96,170000,2000  
23,Japan,J1League,1200000,156,3300000,164,2100000,2000  
24,France,Ligue2,950000,218,15980000,229,15030000,2000  
25,Italy,SerieC,800000,365,1040000,409,240000,2000  
1,Italy,SerieA,810120000,466,753880000,429,-56240000,2001
2,England,PremierLeague,580450000,288,240490000,326,-339960000,2001
3,Spain,LaLiga,328010000,251,202600000,253,-125410000,2001
4,Germany,Bundesliga,184930000,163,86190000,166,-98740000,2001
5,France,Ligue1,171370000,277,175250000,273,3880000,2001
6,England,Championship,79460000,371,94670000,398,15210000,2001
7,Netherlands,Eredivisie,58560000,182,71030000,189,12470000,2001
8,Portugal,LigaPortugalBwin,39730000,215,32000000,176,-7730000,2001
9,Greece,GreeceSuperLeague1,33880000,198,29330000,185,-4550000,2001
10,Turkey,SüperLig,26210000,471,48110000,433,21900000,2001
11,Spain,LaLiga2,21540000,284,52380000,298,30840000,2001
12,Italy,SerieB,16820000,394,113900000,448,97080000,2001
13,Belgium,JupilerProLeague,16540000,211,58330000,229,41790000,2001
14,Austria,AustriaBundesliga,12650000,127,6010000,134,-6640000,2001
15,Russia,RussiaPremierLiga,12620000,200,7540000,222,-5090000,2001
16,Germany,Germany2Bundesliga,9790000,232,17200000,250,7410000,2001
17,KoreaSouth,KoreaSouthKLeague1,6590000,123,5140000,104,-1440000,2001
18,Switzerland,SwitzerlandSuperLeague,5300000,125,9150000,137,3860000,2001
19,Denmark,DenmarkSuperligaen,4360000,45,8140000,71,3780000,2001
20,CzechRepublic,CzechRepublicFortunaLiga,4170000,249,10960000,242,6790000,2001
21,Italy,SerieC,3520000,315,1500000,369,-2020000,2001
