1,RealMadrid,Spain,LaLiga,121950000,20,65550000,15,-56400000,2000
2,SSLazio,Italy,SerieA,117320000,26,44200000,18,-73120000,2000
3,ASRoma,Italy,SerieA,97400000,25,8360000,17,-89040000,2000
4,ACParma,Italy,SerieA,87000000,21,77730000,23,-9280000,2000
5,FCBarcelona,Spain,LaLiga,82400000,14,74800000,13,-7600000,2000
6,FCInternazionale,Italy,SerieA,64250000,45,28750000,32,-35500000,2000
7,ParisSaint-Germain,France,Ligue1,62290000,17,585000,13,-61700000,2000
8,ValenciaCF,Spain,LaLiga,58700000,18,61250000,16,2550000,2000
9,ArsenalFC,England,PremierLeague,56300000,26,50030000,23,-6280000,2000
10,DeportivodeLaCoruña,Spain,LaLiga,55450000,24,39740000,18,-15710000,2000
11,LeedsUnited,England,PremierLeague,53150000,10,12330000,10,-40820000,2000
12,ChelseaFC,England,PremierLeague,52390000,24,37720000,20,-14670000,2000
13,RangersFC,Scotland,ScotlandPremiership,46330000,21,6870000,14,-39460000,2000
14,MilanAC,Italy,SerieA,42500000,36,8550000,23,-33950000,2000
15,StadeRennaisFC,France,Ligue1,36890000,22,20000000,13,-16890000,2000
16,ASMonaco,France,Ligue1,34600000,17,50490000,15,15890000,2000
17,EvertonFC,England,PremierLeague,34480000,19,35550000,18,1070000,2000
18,CeltadeVigo,Spain,LaLiga,34120000,17,19000000,11,-15120000,2000
19,LiverpoolFC,England,PremierLeague,34000000,20,19610000,16,-14400000,2000
20,MiddlesbroughFC,England,PremierLeague,33470000,23,10000000,17,-23470000,2000
21,JuventusFC,Italy,SerieA,31980000,26,21640000,16,-10340000,2000
22,CelticFC,Scotland,ScotlandPremiership,30540000,20,10650000,13,-19890000,2000
23,VillarrealCF,Spain,LaLiga,29400000,13,0,11,-29400000,2000
24,OlympiqueLyon,France,Ligue1,28000000,20,5630000,13,-22380000,2000
25,BorussiaDortmund,Germany,Bundesliga,27580000,9,2300000,7,-25280000,2000
26,GalatasarayAS,Turkey,SüperLig,27550000,23,9980000,18,-17570000,2000
27,Bayer04Leverkusen,Germany,Bundesliga,27150000,15,24550000,12,-2600000,2000
28,NewcastleUnited,England,PremierLeague,25910000,19,26390000,20,475000,2000
29,TottenhamHotspur,England,PremierLeague,25740000,9,2460000,12,-23290000,2000
30,SSCNapoli,Italy,SerieA,25570000,34,1250000,32,-24320000,2000
31,SLBenfica,Portugal,LigaBwin,23020000,29,19450000,21,-3570000,2000
32,FenerbahceSK,Turkey,SüperLig,22770000,28,7510000,23,-15260000,2000
33,AstonVilla,England,PremierLeague,21120000,16,20820000,13,-305000,2000
34,CharltonAthletic,England,PremierLeague,20800000,15,532000,16,-20270000,2000
35,ManchesterCity,England,PremierLeague,20280000,23,1460000,25,-18810000,2000
36,OlympiqueMarseille,France,Ligue1,19810000,25,31050000,21,11240000,2000
37,CoventryCity,England,PremierLeague,19000000,15,26280000,16,7280000,2000
38,WestHamUnited,England,PremierLeague,18650000,26,42400000,28,23750000,2000
39,ACFiorentina,Italy,SerieA,17750000,12,40250000,15,22500000,2000
40,RealSociedad,Spain,LaLiga,17680000,15,2400000,12,-15280000,2000
41,SunderlandAFC,England,PremierLeague,16870000,20,5530000,24,-11340000,2000
42,FCGirondinsBordeaux,France,Ligue1,16060000,16,25100000,15,9040000,2000
43,UDLasPalmas,Spain,LaLiga,15710000,14,0,12,-15710000,2000
44,FulhamFC,England,Championship,15020000,19,3410000,21,-11610000,2000
45,BlackburnRovers,England,Championship,14730000,29,13870000,29,-855000,2000
46,PSVEindhoven,Netherlands,Eredivisie,14000000,18,240000,9,-13760000,2000
47,DerbyCounty,England,PremierLeague,13330000,16,6880000,14,-6450000,2000
48,BesiktasJK,Turkey,SüperLig,13250000,29,575000,17,-12680000,2000
49,Vitesse Arnhem,Netherlands,Eredivisie,12770000,18,6800000,14,-5970000,2000
50,HellasVerona,Italy,SerieA,12000000,29,700000,22,-11300000,2000
51,ManchesterUnited,England,PremierLeague,11700000,8,9880000,13,-1830000,2000
52,LeicesterCity,England,PremierLeague,11700000,18,9700000,18,-2000000,2000
53,RCLens,France,Ligue1,11400000,18,26000000,20,14600000,2000
54,HamburgerSV,Germany,Bundesliga,11100000,15,5680000,13,-5430000,2000
55,SportingCP,Portugal,LigaBwin,10900000,32,24300000,24,13400000,2000
56,BayernMunich,Germany,Bundesliga,10000000,6,275000,7,-9730000,2000
57,CrystalPalace,England,Championship,9900000,19,1050000,15,-8850000,2000
58,IpswichTown,England,PremierLeague,9600000,12,4500000,13,-5100000,2000
59,BolognaFC1909,Italy,SerieA,8640000,21,12630000,22,3990000,2000
60,OlympiacosPiraeus,Greece,GreeceSuperLeague1,8210000,13,8000000,12,-210000,2000
61,RCStrasbourgAlsace,France,Ligue1,8000000,14,3200000,14,-4800000,2000
62,1FCKaiserslautern,Germany,Bundesliga,7470000,13,2300000,10,-5170000,2000
63,ClubAtléticoRiverPlate,Argentina,ArgentinaLigaProfesional,7110000,17,53950000,14,46840000,2000
64,WimbledonFC,England,Championship,7000000,23,26710000,23,19710000,2000
65,WestBromwichAlbion,England,Championship,6980000,11,560000,10,-6420000,2000
66,BradfordCity,England,PremierLeague,6610000,16,8940000,22,2340000,2000
67,WolverhamptonWanderers,England,Championship,6350000,21,0,13,-6350000,2000
68,SVWerderBremen,Germany,Bundesliga,6350000,10,1890000,9,-4460000,2000
